"Work Order Number","SA: Type","SA: Schedule Exception Reason","SA: Duration","SA: Status","Entitlement Process Start Time","Created Date","SA: Scheduled Start","SA: Earliest Start Permitted","SA: Due Date","SA: Schedule Mode","SA: Service Territory","SA: Appointment Number"
"WO00037515","Parts Pickup","Parts are not available by the Due Date.","30.00","Completed","5/21/2019 8:22 AM","5/21/2019","5/23/2019 11:00 AM","5/22/2019 8:30 AM","5/23/2019 4:19 PM","Manual","AU - NSW","SA-0041630"
"WO00037515","Onsite Visit","Parts are not available by the Due Date.","80.00","Completed","5/21/2019 8:22 AM","5/21/2019","5/23/2019 11:30 AM","5/22/2019 8:30 AM","5/23/2019 4:19 PM","Manual","AU - NSW","SA-0041631"
"WO00038874","Onsite Visit","","80.00","Completed","5/30/2019 2:10 PM","5/30/2019","5/31/2019 3:00 PM","5/31/2019 8:30 AM","5/31/2019 5:10 PM","Manual","AU - NSW","SA-0042968"
"WO00038874","Parts Pickup","","80.00","Completed","5/30/2019 2:10 PM","5/30/2019","5/31/2019 3:00 PM","5/31/2019 8:30 AM","5/31/2019 5:10 PM","Manual","AU - NSW","SA-0043017"
"WO00036928","Parts Pickup","Parts are not available by the Due Date.","30.00","Completed","5/16/2019 9:42 AM","5/16/2019","5/17/2019 7:30 AM","5/15/2019 10:00 PM","5/16/2019 1:42 PM","Manual","NZ - North Island","SA-0041079"
"WO00036928","Onsite Visit","Parts are not available by the Due Date.","80.00","Completed","5/16/2019 9:42 AM","5/16/2019","5/17/2019 7:30 AM","5/15/2019 10:00 PM","5/16/2019 1:42 PM","Manual","NZ - North Island","SA-0041080"
"WO00039929","Onsite Visit","Parts are not available by the Due Date.","80.00","Dispatched","6/6/2019 4:01 PM","6/6/2019","6/12/2019 11:00 AM","6/11/2019 8:30 AM","6/11/2019 10:01 AM","Manual","AU - NSW","SA-0044068"
"WO00037305","Onsite Visit","","80.00","Completed","5/20/2019 1:37 AM","5/20/2019","5/20/2019 2:00 AM","5/20/2019 12:00 AM","5/20/2019 5:37 AM","Manual","AU - NSW","SA-0041417"
"WO00037425","Onsite Visit","No SSRs were found.","80.00","Completed","5/20/2019 3:27 PM","5/20/2019","5/21/2019 10:30 AM","5/20/2019 12:00 AM","5/20/2019 7:27 PM","Manual","AU - VIC","SA-0041545"
"WO00039240","Parts Pickup","Parts are not available by the Due Date.","30.00","Completed","6/3/2019 9:07 AM","6/3/2019","6/3/2019 11:00 AM","6/3/2019 12:00 AM","6/3/2019 1:07 PM","Manual","AU - NSW","SA-0043319"
"WO00039240","Onsite Visit","Parts are not available by the Due Date.","80.00","Completed","6/3/2019 9:07 AM","6/3/2019","6/3/2019 1:32 PM","6/3/2019 12:00 AM","6/3/2019 1:07 PM","Manual","AU - NSW","SA-0043320"
"WO00037451","Onsite Visit","No SSRs were found.","80.00","Completed","5/20/2019 5:40 PM","5/20/2019","5/23/2019 3:00 PM","5/22/2019 8:30 AM","5/22/2019 11:30 AM","Manual","AU - NSW","SA-0041563"
"WO00039288","Onsite Visit","","80.00","Completed","6/3/2019 12:09 PM","6/3/2019","6/3/2019 2:00 PM","6/3/2019 2:00 PM","6/3/2019 4:09 PM","Automatic","AU - VIC","SA-0043378"
"WO00040068","Onsite Visit","Parts are not available by the Due Date.","80.00","Completed","6/7/2019 2:32 PM","6/7/2019","6/12/2019 12:30 PM","6/7/2019 12:30 AM","6/7/2019 8:32 PM","Manual","AU - SA","SA-0044268"
"WO00037602","Onsite Visit","Parts are not available by the Due Date.","80.00","Completed","5/21/2019 2:08 PM","5/21/2019","5/22/2019 10:00 AM","5/21/2019 12:00 AM","5/21/2019 6:08 PM","Manual","AU - NSW","SA-0041736"
"WO00037191","Onsite Visit","No SSRs were found.","80.00","Completed","5/17/2019 2:10 PM","5/17/2019","5/29/2019 11:07 AM","5/20/2019 8:30 AM","5/27/2019 10:35 PM","Manual","AU - VIC","SA-0041327"
"WO00037441","Onsite Visit","No SSRs were found.","80.00","Completed","5/20/2019 5:10 PM","5/20/2019","5/23/2019 11:15 AM","5/22/2019 8:30 AM","5/22/2019 11:10 AM","Manual","AU - NSW","SA-0041556"
"WO00039369","Onsite Visit","","80.00","In Progress","6/3/2019 8:01 PM","6/3/2019","6/12/2019 3:06 PM","6/4/2019 12:00 AM","6/4/2019 12:01 AM","Manual","AU - VIC","SA-0043472"
"WO00039266","Parts Pickup","","30.00","Completed","6/3/2019 10:51 AM","6/3/2019","6/4/2019 1:00 PM","6/3/2019 1:00 PM","6/3/2019 2:51 PM","Manual","AU - NSW","SA-0043357"
"WO00039266","Onsite Visit","No SSRs were found.","80.00","Completed","6/3/2019 10:51 AM","6/3/2019","6/4/2019 10:20 AM","6/3/2019 8:30 AM","6/3/2019 2:51 PM","Manual","AU - NSW","SA-0043358"
"WO00037648","Parts Pickup","","30.00","Completed","5/21/2019 4:47 PM","5/21/2019","5/22/2019 1:15 PM","5/22/2018 9:00 AM","5/21/2019 8:47 PM","Manual","AU - ACT","SA-0041774"
"WO00037648","Onsite Visit","No SSRs were found.","80.00","Completed","5/21/2019 4:47 PM","5/21/2019","5/22/2019 2:30 PM","5/21/2019 12:00 AM","5/21/2019 8:47 PM","Manual","AU - ACT","SA-0041775"
"WO00039259","Parts Pickup","","80.00","Completed","6/3/2019 10:20 AM","6/3/2019","6/5/2019 1:00 PM","6/4/2019 8:30 AM","6/4/2019 1:20 PM","Manual","AU - NSW","SA-0043441"
"WO00039259","Onsite Visit","","80.00","Completed","6/3/2019 10:20 AM","6/3/2019","6/5/2019 2:45 PM","6/4/2019 8:30 AM","6/4/2019 1:20 PM","Manual","AU - NSW","SA-0043348"
"WO00037334","Onsite Visit","","80.00","Completed","5/20/2019 9:34 AM","5/20/2019","5/20/2019 10:00 AM","5/24/2019 9:00 AM","5/24/2019 9:34 AM","Manual","AU - SA","SA-0041446"
"WO00037458","Onsite Visit","Invalid ""No Skill"" Skill Requirement on the Work Order.","80.00","Completed","5/20/2019 7:16 PM","5/20/2019","5/22/2019 9:00 PM","5/20/2019 2:00 AM","5/20/2019 11:16 PM","Optimization","AU - WA","SA-0041582"
"WO00037494","Onsite Visit","Parts are not available by the Due Date.","80.00","Completed","5/21/2019 12:06 AM","5/21/2019","5/22/2019 11:30 AM","5/21/2019 12:00 AM","5/21/2019 1:24 PM","Manual","AU - NSW","SA-0041624"
"WO00037498","Onsite Visit","Parts are not available by the Due Date.","80.00","Completed","5/21/2019 3:00 AM","5/21/2019","6/6/2019 9:30 AM","5/22/2019 8:30 AM","5/22/2019 6:48 PM","Manual","AU - VIC","SA-0041614"
"WO00039145","Onsite Visit","No SSRs were found.","80.00","Completed","5/31/2019 6:22 PM","5/31/2019","6/5/2019 1:43 PM","5/31/2019 12:00 AM","6/1/2019 5:08 PM","Manual","AU - VIC","SA-0043268"
"WO00037404","Onsite Visit","Parts are not available by the Due Date.","80.00","Completed","5/20/2019 2:05 PM","5/20/2019","5/21/2019 12:15 PM","5/20/2019 12:00 AM","5/21/2019 3:22 PM","Manual","AU - NSW","SA-0041639"
"WO00039173","Parts Pickup","Parts are not available by the Due Date.","30.00","Completed","6/1/2019 2:06 PM","6/1/2019","6/5/2019 4:00 PM","6/4/2019 2:00 AM","6/4/2019 2:30 PM","Manual","AU - WA","SA-0043804"
"WO00039173","Onsite Visit","Parts are not available by the Due Date.","80.00","Completed","6/1/2019 2:06 PM","6/1/2019","6/5/2019 4:45 PM","6/4/2019 2:00 AM","6/4/2019 2:30 PM","Manual","AU - WA","SA-0043805"
"WO00039922","Onsite Visit","No SSRs were found.","80.00","Completed","6/6/2019 3:50 PM","6/6/2019","6/11/2019 12:10 PM","6/11/2019 8:30 AM","6/11/2019 9:50 AM","Manual","AU - NSW","SA-0044065"
"WO00039922","Parts Pickup","","80.00","Completed","6/6/2019 3:50 PM","6/6/2019","6/7/2019 1:30 PM","6/11/2019 8:30 AM","6/11/2019 9:50 AM","Manual","AU - NSW","SA-0044106"
"WO00037419","Onsite Visit","No SSRs were found.","80.00","Completed","5/20/2019 3:12 PM","5/20/2019","5/21/2019 11:00 AM","5/20/2019 12:00 AM","5/20/2019 7:12 PM","Manual","AU - VIC","SA-0041540"
"WO00037394","Onsite Visit","Parts are not available by the Due Date.","80.00","Completed","5/20/2019 1:20 PM","5/20/2019","5/21/2019 11:45 AM","5/21/2019 8:30 AM","5/21/2019 4:20 PM","Manual","AU - QLD","SA-0041517"
"WO00037495","Parts Pickup","","30.00","Completed","5/21/2019 12:56 AM","5/21/2019","5/21/2019 11:36 AM","5/21/2019 11:30 AM","5/21/2019 2:54 PM","Automatic","AU - VIC","SA-0041622"
"WO00037495","Onsite Visit","","80.00","Completed","5/21/2019 12:56 AM","5/21/2019","5/21/2019 1:16 PM","5/21/2019 12:00 AM","5/21/2019 2:54 PM","Automatic","AU - VIC","SA-0041623"
